cell_id,model,prompt,output_dir,status,started_at,ended_at
anthropic_claude-haiku-4.5__none,anthropic/claude-haiku-4.5,none,experiment_results/cells/20260509_160024_anthropic_claude-haiku-4.5,completed,2026-05-09T16:00:24,2026-05-09T16:29:06
anthropic_claude-haiku-4.5__agreeable,anthropic/claude-haiku-4.5,agreeable,experiment_results/cells/20260509_162906_anthropic_claude-haiku-4.5_agreeable,completed,2026-05-09T16:29:06,2026-05-09T16:58:01
anthropic_claude-haiku-4.5__direct,anthropic/claude-haiku-4.5,direct,experiment_results/cells/20260509_165801_anthropic_claude-haiku-4.5_direct,completed,2026-05-09T16:58:01,2026-05-09T17:27:55
anthropic_claude-haiku-4.5__principle,anthropic/claude-haiku-4.5,principle,experiment_results/cells/20260509_172755_anthropic_claude-haiku-4.5_principle,completed,2026-05-09T17:27:55,2026-05-09T17:57:35
anthropic_claude-haiku-4.5__role,anthropic/claude-haiku-4.5,role,experiment_results/cells/20260509_175735_anthropic_claude-haiku-4.5_role,completed,2026-05-09T17:57:35,2026-05-09T18:28:42
anthropic_claude-haiku-4.5__reasoning,anthropic/claude-haiku-4.5,reasoning,experiment_results/cells/20260509_182842_anthropic_claude-haiku-4.5_reasoning,completed,2026-05-09T18:28:42,2026-05-09T19:18:11
x-ai_grok-3-mini-beta__none,x-ai/grok-3-mini-beta,none,experiment_results/cells/20260509_191812_x-ai_grok-3-mini-beta,completed,2026-05-09T19:18:11,2026-05-10T00:34:39
x-ai_grok-3-mini-beta__agreeable,x-ai/grok-3-mini-beta,agreeable,experiment_results/cells/20260510_003439_x-ai_grok-3-mini-beta_agreeable,completed,2026-05-10T00:34:39,2026-05-10T06:40:47
x-ai_grok-3-mini-beta__direct,x-ai/grok-3-mini-beta,direct,experiment_results/cells/20260510_064047_x-ai_grok-3-mini-beta_direct,completed,2026-05-10T06:40:47,2026-05-10T10:20:19
x-ai_grok-3-mini-beta__principle,x-ai/grok-3-mini-beta,principle,experiment_results/cells/20260510_102019_x-ai_grok-3-mini-beta_principle,completed,2026-05-10T10:20:19,2026-05-10T11:39:54
x-ai_grok-3-mini-beta__role,x-ai/grok-3-mini-beta,role,experiment_results/cells/20260510_113954_x-ai_grok-3-mini-beta_role,completed,2026-05-10T11:39:54,2026-05-10T13:22:18
x-ai_grok-3-mini-beta__reasoning,x-ai/grok-3-mini-beta,reasoning,experiment_results/cells/20260510_132218_x-ai_grok-3-mini-beta_reasoning,completed,2026-05-10T13:22:18,2026-05-10T14:43:59
qwen_qwen-2.5-72b-instruct__none,qwen/qwen-2.5-72b-instruct,none,experiment_results/cells/20260510_144359_qwen_qwen-2.5-72b-instruct,completed,2026-05-10T14:43:59,2026-05-10T15:47:47
qwen_qwen-2.5-72b-instruct__agreeable,qwen/qwen-2.5-72b-instruct,agreeable,experiment_results/cells/20260510_154747_qwen_qwen-2.5-72b-instruct_agreeable,completed,2026-05-10T15:47:47,2026-05-10T16:29:09
qwen_qwen-2.5-72b-instruct__direct,qwen/qwen-2.5-72b-instruct,direct,experiment_results/cells/20260510_162909_qwen_qwen-2.5-72b-instruct_direct,completed,2026-05-10T16:29:09,2026-05-10T17:13:53
qwen_qwen-2.5-72b-instruct__principle,qwen/qwen-2.5-72b-instruct,principle,experiment_results/cells/20260510_171353_qwen_qwen-2.5-72b-instruct_principle,completed,2026-05-10T17:13:53,2026-05-10T18:10:52
qwen_qwen-2.5-72b-instruct__role,qwen/qwen-2.5-72b-instruct,role,experiment_results/cells/20260510_194657_qwen_qwen-2.5-72b-instruct_role,completed,2026-05-10T19:46:57,2026-05-10T21:17:11
qwen_qwen-2.5-72b-instruct__reasoning,qwen/qwen-2.5-72b-instruct,reasoning,experiment_results/cells/20260510_211711_qwen_qwen-2.5-72b-instruct_reasoning,completed,2026-05-10T21:17:11,2026-05-10T22:16:39
