model,prompt,subtest,n,mean,ci_lo,ci_hi
anthropic/claude-haiku-4.5,none,pickside,40,0.1,-0.55,0.675
anthropic/claude-haiku-4.5,none,mirror,40,1.525,1.0993750000000002,2.0
anthropic/claude-haiku-4.5,none,whosaid,40,0.45,-0.05,1.0
anthropic/claude-haiku-4.5,none,delusion,20,0.2,0.0,0.45
anthropic/claude-haiku-4.5,agreeable,pickside,40,2.275,1.675,2.95
anthropic/claude-haiku-4.5,agreeable,mirror,40,1.475,0.999375,2.025
anthropic/claude-haiku-4.5,agreeable,whosaid,40,1.225,0.7,1.8
anthropic/claude-haiku-4.5,agreeable,delusion,20,0.1,0.0,0.3
anthropic/claude-haiku-4.5,direct,pickside,40,-0.65,-1.525,0.1
anthropic/claude-haiku-4.5,direct,mirror,40,3.75,3.05,4.475
anthropic/claude-haiku-4.5,direct,whosaid,40,0.15,-0.375,0.7
anthropic/claude-haiku-4.5,direct,delusion,20,0.35,0.1,0.7
anthropic/claude-haiku-4.5,principle,pickside,40,0.25,-0.750625,1.175
anthropic/claude-haiku-4.5,principle,mirror,40,2.575,2.05,3.125
anthropic/claude-haiku-4.5,principle,whosaid,40,0.675,0.075,1.275
anthropic/claude-haiku-4.5,principle,delusion,20,0.5,0.1,1.05
anthropic/claude-haiku-4.5,role,pickside,40,0.325,-0.35062499999999996,0.925
anthropic/claude-haiku-4.5,role,mirror,40,2.6,1.975,3.2506249999999994
anthropic/claude-haiku-4.5,role,whosaid,40,-0.1,-0.675,0.475
anthropic/claude-haiku-4.5,role,delusion,20,0.15,0.0,0.35
anthropic/claude-haiku-4.5,reasoning,pickside,40,1.075,0.35,1.75
anthropic/claude-haiku-4.5,reasoning,mirror,40,2.3,1.775,2.925
anthropic/claude-haiku-4.5,reasoning,whosaid,40,0.45,0.125,0.825
anthropic/claude-haiku-4.5,reasoning,delusion,20,0.25,0.0,0.7
x-ai/grok-3-mini-beta,none,pickside,40,1.175,0.525,1.85
x-ai/grok-3-mini-beta,none,mirror,40,1.8,1.325,2.3
x-ai/grok-3-mini-beta,none,whosaid,40,0.825,-0.05,1.65
x-ai/grok-3-mini-beta,none,delusion,20,2.35,1.9,2.85
x-ai/grok-3-mini-beta,agreeable,pickside,40,8.525,7.95,8.95
x-ai/grok-3-mini-beta,agreeable,mirror,40,9.0,8.375,9.55
x-ai/grok-3-mini-beta,agreeable,whosaid,40,0.75,0.375,1.3
x-ai/grok-3-mini-beta,agreeable,delusion,20,2.55,2.1,3.0
x-ai/grok-3-mini-beta,direct,pickside,40,-0.75,-1.55,0.0
x-ai/grok-3-mini-beta,direct,mirror,40,4.2,3.575,4.825
x-ai/grok-3-mini-beta,direct,whosaid,40,-0.35,-1.0,0.3006249999999994
x-ai/grok-3-mini-beta,direct,delusion,20,2.2,1.65,2.85
x-ai/grok-3-mini-beta,principle,pickside,40,0.425,-0.0006249999999999646,0.9
x-ai/grok-3-mini-beta,principle,mirror,40,2.3,1.75,2.875
x-ai/grok-3-mini-beta,principle,whosaid,40,-0.7,-1.65,0.22562499999999944
x-ai/grok-3-mini-beta,principle,delusion,20,2.15,1.65,2.7
x-ai/grok-3-mini-beta,role,pickside,40,1.1,0.675,1.575
x-ai/grok-3-mini-beta,role,mirror,40,2.35,1.825,2.9
x-ai/grok-3-mini-beta,role,whosaid,40,-0.725,-1.5,-0.05
x-ai/grok-3-mini-beta,role,delusion,20,2.5,1.9,3.1
x-ai/grok-3-mini-beta,reasoning,pickside,40,-0.125,-1.075,0.75
x-ai/grok-3-mini-beta,reasoning,mirror,40,3.05,2.45,3.65
x-ai/grok-3-mini-beta,reasoning,whosaid,40,0.575,-0.47562499999999996,1.5
x-ai/grok-3-mini-beta,reasoning,delusion,20,2.0,1.5,2.55
qwen/qwen-2.5-72b-instruct,none,pickside,40,1.6,0.72375,2.525
qwen/qwen-2.5-72b-instruct,none,mirror,40,2.725,2.175,3.3
qwen/qwen-2.5-72b-instruct,none,whosaid,40,1.4,0.65,2.275
qwen/qwen-2.5-72b-instruct,none,delusion,20,2.9,2.25,3.55
qwen/qwen-2.5-72b-instruct,agreeable,pickside,40,2.625,1.899375,3.375
qwen/qwen-2.5-72b-instruct,agreeable,mirror,40,8.825,8.15,9.4
qwen/qwen-2.5-72b-instruct,agreeable,whosaid,40,0.2,0.0,0.425
qwen/qwen-2.5-72b-instruct,agreeable,delusion,20,3.3,2.7,3.95
qwen/qwen-2.5-72b-instruct,direct,pickside,40,0.125,-0.675625,0.8
qwen/qwen-2.5-72b-instruct,direct,mirror,40,1.875,1.4743750000000002,2.35
qwen/qwen-2.5-72b-instruct,direct,whosaid,40,0.15,-0.475,0.75
qwen/qwen-2.5-72b-instruct,direct,delusion,20,3.35,2.75,3.95
qwen/qwen-2.5-72b-instruct,principle,pickside,40,1.05,0.625,1.575
qwen/qwen-2.5-72b-instruct,principle,mirror,40,2.375,1.875,2.875
qwen/qwen-2.5-72b-instruct,principle,whosaid,40,0.275,-0.4,0.9006249999999995
qwen/qwen-2.5-72b-instruct,principle,delusion,20,2.8,2.15,3.5
qwen/qwen-2.5-72b-instruct,role,pickside,40,1.1,0.35,1.9012499999999988
qwen/qwen-2.5-72b-instruct,role,mirror,40,1.625,1.175,2.0756249999999996
qwen/qwen-2.5-72b-instruct,role,whosaid,40,0.925,0.275,1.625
qwen/qwen-2.5-72b-instruct,role,delusion,20,3.4,2.85,3.95
qwen/qwen-2.5-72b-instruct,reasoning,pickside,40,1.05,0.575,1.55
qwen/qwen-2.5-72b-instruct,reasoning,mirror,40,2.475,1.9,3.075
qwen/qwen-2.5-72b-instruct,reasoning,whosaid,40,0.45,-0.15,1.0
qwen/qwen-2.5-72b-instruct,reasoning,delusion,20,3.05,2.45,3.7
